mu, offset, k1, k2_constant, rel_err, query_time, build_time
0.0001, 5, 45, 0.448899, 0.139138, 0.0221, 11318
0.0001, 5, 45, 0.21996, 0.137457, 0.028, 11306
0.0001, 5, 45, 0.107781, 0.135362, 0.0243, 11454
0.0001, 5, 45, 0.0528125, 0.136161, 0.0237, 11279
0.0001, 5, 31, 66.1875, 0.146371, 0.0181, 7780
0.0001, 5, 31, 32.4319, 0.147123, 0.0161, 7782
0.0001, 5, 31, 15.8916, 0.145442, 0.0195, 7769
0.0001, 5, 31, 7.78689, 0.149373, 0.0165, 7768
0.0001, 5, 31, 3.81558, 0.146344, 0.0172, 7781
0.0001, 5, 31, 1.86963, 0.154754, 0.0161, 7780
0.0001, 5, 31, 0.91612, 0.138244, 0.0157, 7878
0.0001, 5, 31, 0.448899, 0.153586, 0.0189, 7900
0.0001, 5, 31, 0.21996, 0.145366, 0.016, 7833
0.0001, 5, 31, 0.107781, 0.150557, 0.0178, 7795
0.0001, 5, 31, 0.0528125, 0.150818, 0.0197, 7802
0.0001, 5, 21, 66.1875, 0.164174, 0.0129, 5306
0.0001, 5, 21, 32.4319, 0.179927, 0.0131, 5347
0.0001, 5, 21, 15.8916, 0.178157, 0.0121, 5320
0.0001, 5, 21, 7.78689, 0.180075, 0.0133, 5305
0.0001, 5, 21, 3.81558, 0.167919, 0.0135, 5480
0.0001, 5, 21, 1.86963, 0.173633, 0.0137, 5383
0.0001, 5, 21, 0.91612, 0.171549, 0.0121, 5423
0.0001, 5, 21, 0.448899, 0.172558, 0.0129, 5731
0.0001, 5, 21, 0.21996, 0.1649, 0.0123, 5496
0.0001, 5, 21, 0.107781, 0.161411, 0.0138, 5461
0.0001, 5, 21, 0.0528125, 0.17851, 0.0123, 5450
0.0001, 5, 14, 66.1875, 0.199787, 0.0101, 3618
0.0001, 5, 14, 32.4319, 0.182204, 0.009, 3636
0.0001, 5, 14, 15.8916, 0.190286, 0.0094, 3628
0.0001, 5, 14, 7.78689, 0.205037, 0.009, 3614
0.0001, 5, 9, 66.1875, 0.229829, 0.0065, 2401
0.0001, 6, 65, 66.1875, 0.184139, 0.0245, 16922
0.0001, 6, 65, 32.4319, 0.195179, 0.0259, 16534
0.0001, 6, 65, 15.8916, 0.210132, 0.0247, 16485
0.0001, 6, 45, 66.1875, 0.211058, 0.0192, 11621
0.0001, 7, 65, 66.1875, 0.28412, 0.025, 16737
0.0001, 8, 65, 66.1875, 0.464331, 0.0236, 16546
0.0001, 9, 65, 66.1875, 0.739869, 0.0231, 16488
0.0001, 10, 65, 66.1875, 0.993651, 0.02, 16465
0.0001, 11, 65, 66.1875, 1, 0.0217, 16383
0.0001, 12, 65, 66.1875, 1, 0.0174, 16489
0.0001, 13, 65, 66.1875, 1, 0.0188, 16423
0.0001, 14, 65, 66.1875, 1, 0.0179, 16407
0.0001, -1, 1, 0.0528125, 0.958292, 0.0038, 271
0.0001, -1, 1, 0.107781, 0.958372, 0.0047, 263
0.0001, -1, 1, 0.21996, 0.956349, 0.0044, 266
0.0001, -1, 1, 0.448899, 0.951971, 0.0055, 268
0.0001, -1, 1, 0.91612, 0.940377, 0.0073, 324
0.0001, -1, 1, 1.86963, 0.920726, 0.0082, 350
0.0001, -1, 1, 3.81558, 0.863999, 0.0131, 337
0.0001, -1, 1, 7.78689, 0.777961, 0.0209, 490
0.0001, -1, 1, 15.8916, 0.637403, 0.0363, 2167
0.0001, -1, 1, 32.4319, 0.451782, 0.0445, 2171
0.0001, -1, 1, 66.1875, 0.242422, 0.0924, 4359
0.0001, -1, 2, 0.0528125, 0.952033, 0.0077, 552
0.0001, -1, 2, 0.107781, 0.950466, 0.0077, 554
0.0001, -1, 2, 0.21996, 0.948329, 0.0094, 554
0.0001, -1, 2, 0.448899, 0.941545, 0.0092, 565
0.0001, -1, 2, 0.91612, 0.933517, 0.0106, 578
0.0001, -1, 2, 1.86963, 0.906283, 0.0206, 602
0.0001, -1, 2, 3.81558, 0.855439, 0.0248, 692
0.0001, -1, 2, 7.78689, 0.757606, 0.0411, 929
0.0001, -1, 2, 15.8916, 0.613644, 0.0635, 1348
0.0001, -1, 2, 32.4319, 0.423354, 0.092, 2537
0.0001, -1, 2, 66.1875, 0.208542, 0.1684, 5381
0.0001, -1, 4, 0.0528125, 0.955653, 0.014, 1133
0.0001, -1, 4, 0.107781, 0.955245, 0.0149, 1248
0.0001, -1, 4, 0.21996, 0.953143, 0.0162, 1123
0.0001, -1, 4, 0.448899, 0.947682, 0.0203, 1140
0.0001, -1, 4, 0.91612, 0.936078, 0.0214, 1156
0.0001, -1, 4, 1.86963, 0.913916, 0.0351, 1380
0.0001, -1, 4, 3.81558, 0.864363, 0.0491, 1456
0.0001, -1, 4, 7.78689, 0.770755, 0.0729, 1813
0.0001, -1, 4, 15.8916, 0.631448, 0.0931, 2702
0.0001, -1, 4, 32.4319, 0.439893, 0.1801, 4638
0.0001, -1, 4, 66.1875, 0.222335, 0.3508, 9489
0.0001, -1, 6, 0.0528125, 0.957334, 0.0189, 1714
0.0001, -1, 6, 0.107781, 0.955718, 0.0198, 1666
0.0001, -1, 6, 0.21996, 0.954361, 0.0227, 1791
0.0001, -1, 6, 0.448899, 0.949414, 0.0275, 1686
0.0001, -1, 6, 0.91612, 0.937517, 0.0391, 1748
0.0001, -1, 6, 1.86963, 0.915447, 0.0477, 1989
0.0001, -1, 6, 3.81558, 0.863867, 0.0728, 2155
0.0001, -1, 6, 7.78689, 0.774584, 0.1012, 2639
0.0001, -1, 6, 15.8916, 0.633473, 0.1712, 4052
0.0001, -1, 6, 32.4319, 0.446025, 0.2752, 6744
0.0001, -1, 6, 66.1875, 0.229505, 0.5205, 14072
0.0001, -1, 9, 0.0528125, 0.959118, 0.0319, 2467
0.0001, -1, 9, 0.107781, 0.959062, 0.0289, 2400
0.0001, -1, 9, 0.21996, 0.956658, 0.034, 2411
0.0001, -1, 9, 0.448899, 0.9517, 0.0405, 2468
0.0001, -1, 9, 0.91612, 0.940331, 0.051, 2540
0.0001, -1, 9, 1.86963, 0.91891, 0.0698, 2737
0.0001, -1, 9, 3.81558, 0.872994, 0.0976, 3136
0.0001, -1, 9, 7.78689, 0.781207, 0.1616, 3830
0.0001, -1, 9, 15.8916, 0.643136, 0.2422, 5829
0.0001, -1, 9, 32.4319, 0.45814, 0.4343, 9954
0.0001, -1, 9, 66.1875, 0.246591, 0.8285, 21614
0.0001, -1, 14, 0.0528125, 0.958753, 0.0478, 3790
0.0001, -1, 14, 0.107781, 0.957711, 0.0438, 3698
0.0001, -1, 14, 0.21996, 0.955851, 0.0507, 3721
0.0001, -1, 14, 0.448899, 0.950932, 0.0536, 3752
0.0001, -1, 14, 0.91612, 0.940952, 0.0708, 3893
0.0001, -1, 14, 1.86963, 0.918371, 0.1043, 4273
0.0001, -1, 14, 3.81558, 0.869852, 0.162, 4756
0.0001, -1, 14, 7.78689, 0.778276, 0.238, 6426
0.0001, -1, 14, 15.8916, 0.64013, 0.3443, 8976
0.0001, -1, 14, 32.4319, 0.456284, 0.6234, 15403
0.0001, -1, 14, 66.1875, 0.241796, 1.2437, 31285
0.0001, -1, 21, 0.0528125, 0.959741, 0.0707, 5513
0.0001, -1, 21, 0.107781, 0.958644, 0.0757, 5497
0.0001, -1, 21, 0.21996, 0.956772, 0.0646, 5555
