mu, offset, k1, k2_constant, rel_err, query_time, build_time
0.0001, 1, 21, 0.11379, 0.0366026, 0.2342, 21904
0.0001, 1, 21, 0.0557569, 0.0594491, 0.225, 21720
0.0001, 1, 14, 69.8776, 0.0480947, 1.7024, 15918
0.0001, 1, 14, 34.24, 0.0401533, 0.9954, 15456
0.0001, 1, 14, 16.7776, 0.0463971, 0.7317, 14892
0.0001, 1, 14, 8.22103, 0.0540786, 0.5957, 15202
0.0001, 1, 14, 4.0283, 0.0363586, 0.4848, 14847
0.0001, 1, 14, 1.97387, 0.036251, 0.3808, 15001
0.0001, 1, 14, 0.967195, 0.0474861, 0.3235, 14455
0.0001, 1, 14, 0.473926, 0.0393246, 0.2089, 14904
0.0001, 1, 14, 0.232224, 0.0563026, 0.1751, 15073
0.0001, 1, 14, 0.11379, 0.0395869, 0.155, 14766
0.0001, 1, 14, 0.0557569, 0.0428647, 0.1621, 14463
0.0001, 1, 9, 69.8776, 0.0687263, 1.1485, 10057
0.0001, 1, 9, 34.24, 0.0466656, 0.6029, 10095
0.0001, 1, 9, 16.7776, 0.0532688, 0.4777, 9936
0.0001, 1, 9, 8.22103, 0.0503544, 0.3825, 9855
0.0001, 1, 9, 4.0283, 0.0481431, 0.3117, 9571
0.0001, 1, 9, 1.97387, 0.0562656, 0.2754, 9468
0.0001, 1, 9, 0.967195, 0.0449216, 0.1879, 9817
0.0001, 1, 9, 0.473926, 0.0585368, 0.1335, 9718
0.0001, 1, 9, 0.232224, 0.0518148, 0.1128, 9635
0.0001, 1, 9, 0.11379, 0.0438453, 0.1051, 9494
0.0001, 1, 9, 0.0557569, 0.0517884, 0.114, 9492
0.0001, 1, 6, 69.8776, 0.0896608, 0.7011, 6777
0.0001, 1, 6, 34.24, 0.0493985, 0.4409, 6928
0.0001, 1, 6, 16.7776, 0.0495422, 0.3656, 6701
0.0001, 1, 6, 8.22103, 0.0532516, 0.2665, 6494
0.0001, 1, 6, 4.0283, 0.0586303, 0.2026, 6461
0.0001, 1, 6, 1.97387, 0.0647391, 0.1784, 6363
0.0001, 1, 6, 0.967195, 0.0540777, 0.1547, 6392
0.0001, 1, 6, 0.473926, 0.0534969, 0.1105, 6405
0.0001, 1, 6, 0.232224, 0.0557091, 0.0832, 6327
0.0001, 1, 6, 0.11379, 0.0598801, 0.0843, 6348
0.0001, 1, 6, 0.0557569, 0.0474588, 0.079, 6486
0.0001, 1, 4, 69.8776, 0.0586554, 0.4565, 4758
0.0001, 1, 4, 34.24, 0.0635429, 0.2836, 4641
0.0001, 1, 4, 16.7776, 0.0574756, 0.2175, 4458
0.0001, 1, 4, 8.22103, 0.0561731, 0.1946, 4364
0.0001, 1, 4, 4.0283, 0.0575466, 0.151, 4344
0.0001, 1, 4, 1.97387, 0.0747054, 0.1381, 4408
0.0001, 1, 4, 0.967195, 0.0661465, 0.0877, 4427
0.0001, 1, 4, 0.473926, 0.0750407, 0.0689, 4388
0.0001, 1, 4, 0.232224, 0.0599308, 0.0564, 4391
0.0001, 1, 4, 0.11379, 0.0606318, 0.0515, 4418
0.0001, 1, 4, 0.0557569, 0.0726591, 0.0538, 4366
0.0001, 1, 2, 69.8776, 0.131456, 0.2505, 2666
0.0001, 1, 2, 34.24, 0.0793581, 0.136, 2363
0.0001, 1, 2, 16.7776, 0.0912145, 0.1088, 2285
0.0001, 1, 2, 8.22103, 0.0798626, 0.0881, 2304
0.0001, 1, 2, 4.0283, 0.109279, 0.0671, 2236
0.0001, 1, 2, 1.97387, 0.141388, 0.0575, 2235
0.0001, 1, 2, 0.967195, 0.0964917, 0.0496, 2222
0.0001, 1, 2, 0.473926, 0.100419, 0.0356, 2208
0.0001, 1, 2, 0.232224, 0.0905643, 0.0302, 2210
0.0001, 1, 2, 0.11379, 0.107616, 0.0281, 2283
0.0001, 1, 2, 0.0557569, 0.125675, 0.0264, 2187
0.0001, 1, 1, 69.8776, 0.109855, 0.1209, 1387
0.0001, 1, 1, 34.24, 0.104695, 0.0769, 1254
0.0001, 1, 1, 16.7776, 0.0991844, 0.0651, 1166
0.0001, 1, 1, 8.22103, 0.0980018, 0.0566, 1301
0.0001, 1, 1, 4.0283, 0.0981877, 0.0454, 1302
0.0001, 1, 1, 1.97387, 0.0864921, 0.0376, 1152
0.0001, 1, 1, 0.967195, 0.113226, 0.03, 1259
0.0001, 1, 1, 0.473926, 0.113538, 0.0201, 1093
0.0001, 1, 1, 0.232224, 0.0927222, 0.0155, 1104
0.0001, 1, 1, 0.11379, 0.0829296, 0.0159, 1106
0.0001, 1, 1, 0.0557569, 0.118059, 0.0145, 1333
0.0001, 2, 65, 69.8776, 0.0726396, 3.2122, 68829
0.0001, 2, 65, 34.24, 0.0444792, 1.877, 66818
0.0001, 2, 65, 16.7776, 0.0477964, 1.4406, 67931
0.0001, 2, 65, 8.22103, 0.061533, 1.1542, 66551
0.0001, 2, 65, 4.0283, 0.0657646, 0.9945, 66748
0.0001, 2, 65, 1.97387, 0.0572531, 0.7753, 67338
0.0001, 2, 65, 0.967195, 0.0408337, 0.561, 67233
0.0001, 2, 65, 0.473926, 0.0475084, 0.4225, 66304
0.0001, 2, 65, 0.232224, 0.0588855, 0.3881, 67383
0.0001, 2, 65, 0.11379, 0.0464006, 0.3458, 66928
0.0001, 2, 65, 0.0557569, 0.0557543, 0.3673, 67376
0.0001, 2, 45, 69.8776, 0.0509037, 2.0991, 47033
0.0001, 2, 45, 34.24, 0.0545158, 1.3308, 47501
0.0001, 2, 45, 16.7776, 0.0547062, 1.0035, 47468
0.0001, 2, 45, 8.22103, 0.0556653, 0.8032, 46223
0.0001, 2, 45, 4.0283, 0.0592457, 0.6956, 46989
0.0001, 2, 45, 1.97387, 0.0463008, 0.5333, 47172
