mu, offset, k1, k2_constant, rel_err, query_time, build_time
0.0001, 1, 21, 3.77969, 0.170679, 0.0831, 7894
0.0001, 1, 21, 1.85205, 0.169463, 0.0792, 8478
0.0001, 1, 21, 0.907505, 0.169768, 0.0809, 7857
0.0001, 1, 21, 0.444677, 0.176654, 0.0774, 7852
0.0001, 1, 21, 0.217892, 0.170422, 0.0639, 7830
0.0001, 1, 21, 0.106767, 0.162649, 0.0763, 7932
0.0001, 1, 21, 0.0523158, 0.169311, 0.0748, 8153
0.0001, 1, 14, 65.565, 0.181624, 0.1092, 6480
0.0001, 1, 14, 32.1269, 0.167298, 0.0845, 5820
0.0001, 1, 14, 15.7422, 0.167717, 0.0631, 5461
0.0001, 1, 14, 7.71366, 0.180351, 0.0476, 5344
0.0001, 1, 14, 3.77969, 0.173593, 0.0518, 5384
0.0001, 1, 14, 1.85205, 0.180969, 0.0503, 5301
0.0001, 1, 14, 0.907505, 0.175369, 0.0507, 5302
0.0001, 1, 14, 0.444677, 0.181704, 0.048, 5291
0.0001, 1, 14, 0.217892, 0.175147, 0.0507, 5289
0.0001, 1, 14, 0.106767, 0.168261, 0.0497, 5293
0.0001, 1, 14, 0.0523158, 0.171498, 0.0556, 5272
0.0001, 1, 9, 65.565, 0.187919, 0.0721, 4260
0.0001, 1, 9, 32.1269, 0.190043, 0.0443, 3840
0.0001, 1, 9, 15.7422, 0.179945, 0.0431, 3567
0.0001, 1, 9, 7.71366, 0.188039, 0.0394, 3480
0.0001, 1, 9, 3.77969, 0.173458, 0.0351, 3452
0.0001, 1, 9, 1.85205, 0.181959, 0.0361, 3525
0.0001, 1, 9, 0.907505, 0.178347, 0.0404, 3372
0.0001, 1, 9, 0.444677, 0.175279, 0.0346, 3366
0.0001, 1, 9, 0.217892, 0.181536, 0.0352, 3366
0.0001, 1, 9, 0.106767, 0.18139, 0.0386, 3365
0.0001, 1, 9, 0.0523158, 0.178064, 0.0402, 3386
0.0001, 1, 6, 65.565, 0.189153, 0.0547, 2825
0.0001, 1, 6, 32.1269, 0.181356, 0.0323, 2501
0.0001, 1, 6, 15.7422, 0.199074, 0.0319, 2391
0.0001, 1, 6, 7.71366, 0.211238, 0.025, 2319
0.0001, 1, 4, 65.565, 0.218856, 0.0357, 1943
0.0001, 2, 65, 65.565, 0.203451, 0.1881, 25615
0.0001, 3, 65, 65.565, 0.239664, 0.1074, 23877
0.0001, 4, 65, 65.565, 0.300246, 0.0551, 24006
0.0001, 5, 65, 65.565, 0.386362, 0.0379, 23743
0.0001, 6, 65, 65.565, 0.48622, 0.0238, 24105
0.0001, 7, 65, 65.565, 0.569854, 0.021, 24001
0.0001, 8, 65, 65.565, 0.634958, 0.0194, 24019
0.0001, 9, 65, 65.565, 0.728462, 0.0192, 23820
0.0001, 10, 65, 65.565, 0.861597, 0.017, 23845
