mu, offset, k1, k2_constant, rel_err, query_time, build_time
0.0001, 2, 50, 0.729805, 0.121952, 0.0408, 139
0.0001, 2, 50, 0.357605, 0.143994, 0.0377, 161
0.0001, 2, 50, 0.175226, 0.146375, 0.0372, 162
0.0001, 2, 50, 0.0858609, 0.14795, 0.0332, 160
0.0001, 2, 35, 52.7267, 0.0913928, 0.1245, 934
0.0001, 2, 35, 25.8361, 0.0836133, 0.086, 446
0.0001, 2, 35, 12.6597, 0.0862779, 0.0661, 229
0.0001, 2, 35, 6.20324, 0.0876955, 0.0513, 161
0.0001, 2, 35, 3.03959, 0.0907479, 0.0353, 150
0.0001, 2, 35, 1.4894, 0.111369, 0.0383, 119
0.0001, 2, 35, 0.729805, 0.126206, 0.0276, 98
0.0001, 2, 35, 0.357605, 0.15946, 0.0252, 119
0.0001, 2, 35, 0.175226, 0.152802, 0.0244, 100
0.0001, 2, 35, 0.0858609, 0.161266, 0.0268, 103
0.0001, 2, 24, 52.7267, 0.0962523, 0.0818, 683
0.0001, 2, 24, 25.8361, 0.0921532, 0.0784, 302
0.0001, 2, 24, 12.6597, 0.104034, 0.0529, 195
0.0001, 2, 24, 6.20324, 0.0904033, 0.0372, 111
0.0001, 2, 24, 3.03959, 0.0988058, 0.0272, 89
0.0001, 2, 24, 1.4894, 0.110957, 0.0237, 86
0.0001, 2, 24, 0.729805, 0.118629, 0.0207, 88
0.0001, 2, 24, 0.357605, 0.147791, 0.0209, 67
0.0001, 2, 24, 0.175226, 0.152477, 0.019, 71
0.0001, 2, 24, 0.0858609, 0.148272, 0.021, 70
0.0001, 2, 16, 52.7267, 0.119016, 0.0557, 494
0.0001, 2, 16, 25.8361, 0.129541, 0.0475, 217
0.0001, 2, 16, 12.6597, 0.111301, 0.037, 111
0.0001, 2, 16, 6.20324, 0.117754, 0.0228, 87
0.0001, 2, 16, 3.03959, 0.119574, 0.0181, 63
0.0001, 2, 16, 1.4894, 0.128784, 0.0154, 60
0.0001, 2, 16, 0.729805, 0.151572, 0.0139, 53
0.0001, 2, 16, 0.357605, 0.162083, 0.0131, 58
0.0001, 2, 16, 0.175226, 0.162245, 0.0115, 53
0.0001, 2, 16, 0.0858609, 0.166787, 0.0125, 49
0.0001, 2, 11, 52.7267, 0.135161, 0.0447, 319
0.0001, 2, 11, 25.8361, 0.138772, 0.0296, 154
0.0001, 2, 11, 12.6597, 0.133653, 0.0232, 87
0.0001, 2, 11, 6.20324, 0.131688, 0.0186, 61
0.0001, 2, 11, 3.03959, 0.13442, 0.0136, 44
0.0001, 2, 11, 1.4894, 0.157725, 0.0098, 38
0.0001, 2, 11, 0.729805, 0.162042, 0.0102, 37
0.0001, 2, 11, 0.357605, 0.187991, 0.0102, 35
0.0001, 2, 11, 0.175226, 0.187711, 0.01, 35
0.0001, 2, 11, 0.0858609, 0.187267, 0.0101, 38
0.0001, 2, 7, 52.7267, 0.17008, 0.0274, 220
0.0001, 2, 7, 25.8361, 0.155704, 0.02, 98
0.0001, 2, 7, 12.6597, 0.174218, 0.0154, 56
0.0001, 2, 7, 6.20324, 0.151926, 0.0115, 37
0.0001, 2, 7, 3.03959, 0.15953, 0.0091, 30
0.0001, 2, 7, 1.4894, 0.197879, 0.0078, 25
0.0001, 2, 7, 0.729805, 0.18585, 0.0077, 24
0.0001, 2, 7, 0.357605, 0.206548, 0.0072, 23
0.0001, 2, 4, 52.7267, 0.271132, 0.0156, 118
0.0001, 3, 50, 52.7267, 0.108327, 0.0972, 521
0.0001, 3, 50, 25.8361, 0.10002, 0.0642, 276
0.0001, 3, 50, 12.6597, 0.100466, 0.0499, 194
0.0001, 3, 50, 6.20324, 0.111218, 0.036, 164
0.0001, 3, 50, 3.03959, 0.106444, 0.0373, 148
0.0001, 3, 50, 1.4894, 0.106968, 0.0311, 136
0.0001, 3, 50, 0.729805, 0.128757, 0.0277, 161
0.0001, 3, 50, 0.357605, 0.128366, 0.0262, 158
0.0001, 3, 50, 0.175226, 0.125197, 0.0234, 156
0.0001, 3, 50, 0.0858609, 0.124132, 0.0246, 155
0.0001, 3, 35, 52.7267, 0.114613, 0.0576, 317
0.0001, 3, 35, 25.8361, 0.117368, 0.0425, 234
0.0001, 3, 35, 12.6597, 0.117599, 0.0334, 141
0.0001, 3, 35, 6.20324, 0.124965, 0.0268, 119
0.0001, 3, 35, 3.03959, 0.125214, 0.027, 105
0.0001, 3, 35, 1.4894, 0.125572, 0.0191, 98
0.0001, 3, 35, 0.729805, 0.129812, 0.0194, 95
0.0001, 3, 35, 0.357605, 0.148937, 0.02, 112
0.0001, 3, 35, 0.175226, 0.143659, 0.0175, 100
0.0001, 3, 35, 0.0858609, 0.140143, 0.021, 98
0.0001, 3, 24, 52.7267, 0.1348, 0.04, 245
0.0001, 3, 24, 25.8361, 0.131095, 0.0282, 137
0.0001, 3, 24, 12.6597, 0.134618, 0.0227, 100
0.0001, 3, 24, 6.20324, 0.130003, 0.0197, 90
0.0001, 3, 24, 3.03959, 0.129881, 0.0172, 74
0.0001, 3, 24, 1.4894, 0.136971, 0.0152, 68
0.0001, 3, 24, 0.729805, 0.14082, 0.0141, 70
0.0001, 3, 24, 0.357605, 0.152567, 0.0153, 78
0.0001, 3, 24, 0.175226, 0.145919, 0.0139, 71
0.0001, 3, 24, 0.0858609, 0.154112, 0.0139, 70
0.0001, 3, 16, 52.7267, 0.167504, 0.0333, 159
0.0001, 3, 16, 25.8361, 0.167807, 0.0243, 97
