dataset,query_set,mu,algorithm,params,rel_err,samples,query_time,build_time
covtype,test,0.01,ann-faiss,"{}_[0, 20, 256, 50]",0.9867146641565115,20.0,0.008152318000793456,8.273808479309082
covtype,test,0.01,ann-faiss,"{}_[0, 20, 512, 1]",0.9588041875262621,20.0,0.012776207923889164,8.273808479309082
covtype,test,0.01,ann-faiss,"{}_[0, 20, 512, 5]",0.9752082176858108,20.0,0.008497476577758789,8.273808479309082
covtype,test,0.01,ann-faiss,"{}_[0, 20, 512, 10]",0.9819780807601975,20.0,0.008507657051086427,8.273808479309082
covtype,test,0.01,ann-faiss,"{}_[0, 20, 512, 50]",0.9791694606956004,20.0,0.008237743377685545,8.273808479309082
covtype,test,0.01,ann-faiss,"{}_[0, 20, 1024, 1]",0.9812484769212404,20.0,0.018576765060424806,8.273808479309082
covtype,test,0.01,ann-faiss,"{}_[0, 20, 1024, 5]",0.9830804290229085,20.0,0.00837092399597168,8.273808479309082
covtype,test,0.01,ann-faiss,"{}_[0, 20, 1024, 10]",0.9798731596924787,20.0,0.008593106269836424,8.273808479309082
covtype,test,0.01,ann-faiss,"{}_[0, 20, 1024, 50]",1.0021667068750484,20.0,0.008543324470520018,8.273808479309082
covtype,test,0.01,ann-faiss,"{}_[0, 20, 2048, 5]",0.9809405208701725,20.0,0.01547060012817383,8.273808479309082
covtype,test,0.01,ann-faiss,"{}_[0, 20, 2048, 10]",1.020527888425071,20.0,0.007777500152587892,8.273808479309082
covtype,test,0.01,ann-faiss,"{}_[0, 20, 2048, 50]",0.9709951703137157,20.0,0.007493019104003906,8.273808479309082
covtype,test,0.01,ann-faiss,"{}_[0, 20, 4096, 5]",0.9771264515322556,20.0,0.016453194618225093,8.273808479309082
covtype,test,0.01,ann-faiss,"{}_[0, 20, 4096, 10]",0.9595498929886224,20.0,0.008249545097351072,8.273808479309082
covtype,test,0.01,ann-faiss,"{}_[0, 20, 4096, 50]",0.9909572217393934,20.0,0.00881330966949463,8.273808479309082
covtype,test,0.01,ann-faiss,"{}_[0, 40, 32, 1]",0.7581654237224723,40.0,0.020573306083679195,8.273808479309082
covtype,test,0.01,ann-faiss,"{}_[0, 40, 32, 5]",0.754089630455445,40.0,0.015639281272888186,8.273808479309082
covtype,test,0.01,ann-faiss,"{}_[0, 40, 32, 10]",0.7532157558065947,40.0,0.016177725791931157,8.273808479309082
covtype,test,0.01,ann-faiss,"{}_[0, 40, 32, 50]",0.7514229672768878,40.0,0.016772747039794922,8.273808479309082
covtype,test,0.01,ann-faiss,"{}_[0, 40, 64, 1]",0.7534565572685746,40.0,0.024514889717102046,8.273808479309082
covtype,test,0.01,ann-faiss,"{}_[0, 40, 64, 5]",0.764589384137072,40.0,0.016426014900207515,8.273808479309082
covtype,test,0.01,ann-faiss,"{}_[0, 40, 64, 10]",0.7603282549456782,40.0,0.01574926376342773,8.273808479309082
covtype,test,0.01,ann-faiss,"{}_[0, 40, 64, 50]",0.74130141318129,40.0,0.016370820999145504,8.273808479309082
covtype,test,0.01,ann-faiss,"{}_[0, 40, 128, 1]",0.7686349443731156,40.0,0.0275418758392334,8.273808479309082
covtype,test,0.01,ann-faiss,"{}_[0, 40, 128, 5]",0.7558748586259164,40.0,0.01699442863464356,8.273808479309082
covtype,test,0.01,ann-faiss,"{}_[0, 40, 128, 10]",0.7504583130567728,40.0,0.016437053680419922,8.273808479309082
covtype,test,0.01,ann-faiss,"{}_[0, 40, 128, 50]",0.7484968219282052,40.0,0.016443705558776858,8.273808479309082
covtype,test,0.01,ann-faiss,"{}_[0, 40, 256, 1]",0.7575220133554965,40.0,0.027756285667419438,8.273808479309082
covtype,test,0.01,ann-faiss,"{}_[0, 40, 256, 5]",0.7445586603922926,40.0,0.017367553710937504,8.273808479309082
covtype,test,0.01,ann-faiss,"{}_[0, 40, 256, 10]",0.7526678593258612,40.0,0.01695470809936523,8.273808479309082
covtype,test,0.01,ann-faiss,"{}_[0, 40, 256, 50]",0.7488556721155589,40.0,0.016714525222778324,8.273808479309082
covtype,test,0.01,ann-faiss,"{}_[0, 40, 512, 1]",0.7506908228478067,40.0,0.029963541030883785,8.273808479309082
covtype,test,0.01,ann-faiss,"{}_[0, 40, 512, 5]",0.7540050558546892,40.0,0.016387987136840816,8.273808479309082
covtype,test,0.01,ann-faiss,"{}_[0, 40, 512, 10]",0.7606534003800646,40.0,0.016046380996704104,8.273808479309082
covtype,test,0.01,ann-faiss,"{}_[0, 40, 512, 50]",0.7517203837208725,40.0,0.0162365198135376,8.273808479309082
covtype,test,0.01,ann-faiss,"{}_[0, 40, 1024, 1]",0.7695296699589655,40.0,0.028661608695983887,8.273808479309082
covtype,test,0.01,ann-faiss,"{}_[0, 40, 1024, 5]",0.7670174902059312,40.0,0.016606020927429195,8.273808479309082
covtype,test,0.01,ann-faiss,"{}_[0, 40, 1024, 10]",0.743345603639162,40.0,0.01690051555633545,8.273808479309082
covtype,test,0.01,ann-faiss,"{}_[0, 40, 1024, 50]",0.7611433767821281,40.0,0.01614108085632324,8.273808479309082
covtype,test,0.01,ann-faiss,"{}_[0, 40, 2048, 5]",0.7446241357311338,40.0,0.020918321609497074,8.273808479309082
covtype,test,0.01,ann-faiss,"{}_[0, 40, 2048, 10]",0.7595891616114536,40.0,0.015339922904968264,8.273808479309082
covtype,test,0.01,ann-faiss,"{}_[0, 40, 2048, 50]",0.7431946957437374,40.0,0.013634943962097166,8.273808479309082
covtype,test,0.01,ann-faiss,"{}_[0, 40, 4096, 5]",0.7613468315595444,40.0,0.02815337181091309,8.273808479309082
covtype,test,0.01,ann-faiss,"{}_[0, 40, 4096, 10]",0.7510455394746135,40.0,0.01571798324584961,8.273808479309082
covtype,test,0.01,ann-faiss,"{}_[0, 40, 4096, 50]",0.7445579723723881,40.0,0.016853117942810057,8.273808479309082
covtype,test,0.01,ann-faiss,"{}_[0, 80, 32, 1]",0.5657181279482846,80.0,0.04228787422180177,8.273808479309082
covtype,test,0.01,ann-faiss,"{}_[0, 80, 32, 5]",0.5598503566546813,80.0,0.03343398571014405,8.273808479309082
covtype,test,0.01,ann-faiss,"{}_[0, 80, 32, 10]",0.5719138165272165,80.0,0.03776884078979492,8.273808479309082
covtype,test,0.01,ann-faiss,"{}_[0, 80, 32, 50]",0.5594006301052575,80.0,0.03611977100372314,8.273808479309082
covtype,test,0.01,ann-faiss,"{}_[0, 80, 64, 1]",0.5801720382982577,80.0,0.039250302314758304,8.273808479309082
covtype,test,0.01,ann-faiss,"{}_[0, 80, 64, 5]",0.573670354256471,80.0,0.02936165332794189,8.273808479309082
covtype,test,0.01,ann-faiss,"{}_[0, 80, 64, 10]",0.5675431470705752,80.0,0.03301005363464355,8.273808479309082
covtype,test,0.01,ann-faiss,"{}_[0, 80, 64, 50]",0.5782926364035467,80.0,0.033177995681762704,8.273808479309082
covtype,test,0.01,ann-faiss,"{}_[0, 80, 128, 1]",0.5603173411524515,80.0,0.03634257316589355,8.273808479309082
covtype,test,0.01,ann-faiss,"{}_[0, 80, 128, 5]",0.5605701871194272,80.0,0.03143112659454345,8.273808479309082
covtype,test,0.01,ann-faiss,"{}_[0, 80, 128, 10]",0.5572706975616593,80.0,0.033344149589538574,8.273808479309082
covtype,test,0.01,ann-faiss,"{}_[0, 80, 128, 50]",0.5644718489835555,80.0,0.032852864265441886,8.273808479309082
covtype,test,0.01,ann-faiss,"{}_[0, 80, 256, 1]",0.5702685700098123,80.0,0.041639232635498055,8.273808479309082
covtype,test,0.01,ann-faiss,"{}_[0, 80, 256, 5]",0.5716200902049493,80.0,0.03383095264434815,8.273808479309082
